"Freq [GHz]","dB(S(1,1)) []"
2,-0.529629056391287
2.001,-0.530271147817336
2.002,-0.530916848679986
2.003,-0.531566192071352
2.004,-0.532219211469181
2.005,-0.532875940741882
2.006,-0.533536414153563
2.007,-0.534200666369131
2.008,-0.534868732459534
2.009,-0.53554064790703
2.01,-0.536216448610556
2.011,-0.536896170891173
2.012,-0.537579851497621
2.013,-0.538267527611912
2.014,-0.538959236855062
2.015,-0.539655017292876
2.016,-0.540354907441827
2.017,-0.541058946275048
2.018,-0.541767173228405
2.019,-0.542479628206653
2.02,-0.543196351589705
2.021,-0.543917384239003
2.022,-0.544642767503969
2.023,-0.545372543228577
2.024,-0.546106753758027
2.025,-0.546845441945504
2.026,-0.547588651159085
2.027,-0.548336425288708
2.028,-0.549088808753293
2.029,-0.549845846507959
2.03,-0.550607584051346
2.031,-0.551374067433074
2.032,-0.552145343261319
2.033,-0.552921458710507
2.034,-0.553702461529118
2.035,-0.554488400047662
2.036,-0.555279323186707
2.037,-0.556075280465135
2.038,-0.556876322008443
2.039,-0.557682498557245
2.04,-0.558493861475863
2.041,-0.559310462761102
2.042,-0.560132355051145
2.043,-0.560959591634604
2.044,-0.561792226459691
2.045,-0.562630314143607
2.046,-0.563473909982009
2.047,-0.564323069958701
2.048,-0.56517785075544
2.049,-0.566038309761915
2.05,-0.56690450508593
2.051,-0.567776495563687
2.052,-0.568654340770324
2.053,-0.56953810103057
2.054,-0.570427837429596
2.055,-0.57132361182406
2.056,-0.572225486853339
2.057,-0.573133525950921
2.058,-0.574047793356047
2.059,-0.574968354125497
2.06,-0.575895274145619
2.061,-0.576828620144519
2.062,-0.57776845970452
2.063,-0.578714861274776
2.064,-0.579667894184145
2.065,-0.580627628654275
2.066,-0.581594135812882
2.067,-0.582567487707334
2.068,-0.583547757318389
2.069,-0.584535018574224
2.07,-0.585529346364709
2.071,-0.586530816555881
2.072,-0.587539506004757
2.073,-0.588555492574312
2.074,-0.589578855148811
2.075,-0.59060967364934
2.076,-0.591648029049661
2.077,-0.59269400339232
2.078,-0.593747679805062
2.079,-0.594809142517525
2.08,-0.595878476878229
2.081,-0.596955769371894
2.082,-0.598041107637045
2.083,-0.599134580483948
2.084,-0.600236277912856
2.085,-0.601346291132587
2.086,-0.602464712579478
2.087,-0.603591635936627
2.088,-0.60472715615351
2.089,-0.605871369465962
2.09,-0.607024373416522
