        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       2                   -9.095223e-05
                   2.003                  -3.4313402e-05
                   2.006                  -4.7704906e-06
               2.0090001                  -4.8071014e-07
               2.0120001                  -2.1542676e-05
               2.0150001                   -6.732469e-05
               2.0179999                  -0.00013872344
               2.0209999                  -0.00023522453
               2.0239999                  -0.00035566856
                   2.027                  -0.00049892171
                    2.03                   -0.0006661575
                   2.033                  -0.00085635164
                   2.036                   -0.0010682661
                   2.039                   -0.0013019859
               2.0420001                   -0.0015582897
               2.0450001                   -0.0018349657
               2.0480001                    -0.002134156
               2.0510001                   -0.0024509915
               2.0539999                    -0.002788367
               2.0569999                   -0.0031459964
               2.0599999                   -0.0035205248
                   2.063                    -0.003915458
                   2.066                   -0.0043263686
                   2.069                   -0.0047551967
                   2.072                   -0.0052012327
                   2.075                   -0.0056627217
               2.0780001                   -0.0061405569
               2.0810001                   -0.0066329323
               2.0840001                     -0.00714135
               2.0869999                   -0.0076631081
               2.0899999                   -0.0081980268
               2.0929999                   -0.0087485318
                   2.096                   -0.0093105798
                   2.099                   -0.0098842183
                   2.102                     -0.01046989
                   2.105                    -0.011066806
                   2.108                     -0.01167495
               2.1110001                    -0.012292768
               2.1140001                    -0.012919835
               2.1170001                    -0.013557102
               2.1199999                    -0.014203654
               2.1229999                    -0.014856495
               2.1259999                       -0.015519
               2.1289999                    -0.016188535
                   2.132                     -0.01686327
                   2.135                    -0.017545369
                   2.138                    -0.018232641
                   2.141                    -0.018924909
               2.1440001                    -0.019623735
               2.1470001                    -0.020325169
               2.1500001                    -0.021030792
               2.1530001                    -0.021740728
               2.1559999                    -0.022453071
               2.1589999                    -0.023168397
               2.1619999                    -0.023884781
                   2.165                    -0.024602838
                   2.168                    -0.025323159
                   2.171                    -0.026043303
                   2.174                    -0.026764404
                   2.177                    -0.027485503
               2.1800001                    -0.028205185
               2.1830001                    -0.028924606
               2.1860001                    -0.029642243
               2.1889999                    -0.030358788
               2.1919999                      -0.0310732
               2.1949999                    -0.031784652
                   2.198                    -0.032493267
                   2.201                    -0.033198895
                   2.204                    -0.033900936
                   2.207                    -0.034599212
                    2.21                    -0.035292752
               2.2130001                    -0.035982396
               2.2160001                    -0.036666954
               2.2190001                    -0.037346118
               2.2219999                    -0.038019981
               2.2249999                    -0.038687433
               2.2279999                    -0.039349756
               2.2309999                    -0.040005478
                   2.234                    -0.040653793
                   2.237                    -0.041296207
                    2.24                    -0.041929946
                   2.243                    -0.042557296
               2.2460001                    -0.043177699
               2.2490001                    -0.043789079
               2.2520001                    -0.044392071
               2.2550001                    -0.044987334
               2.2579999                    -0.045574207
               2.2609999                    -0.046151777
               2.2639999                    -0.046721144
                   2.267                    -0.047280716
                    2.27                    -0.047831599
                   2.273                    -0.048373311
                   2.276                    -0.048904791
                   2.279                     -0.04942607
               2.2820001                     -0.04993815
               2.2850001                    -0.050440197
               2.2880001                    -0.050931479
               2.2909999                    -0.051413235
               2.2939999                    -0.051884719
               2.2969999                    -0.052345709
                     2.3                     -0.05279638
                   2.303                    -0.053235378
                   2.306                    -0.053664822
                   2.309                    -0.054083475
                   2.312                    -0.054491354
               2.3150001                    -0.054888596
               2.3180001                    -0.055275092
               2.3210001                    -0.055650745
               2.3239999                     -0.05601424
               2.3269999                    -0.056367839
               2.3299999                    -0.056711532
               2.3329999                    -0.057043378
                   2.336                    -0.057364287
                   2.339                    -0.057674129
                   2.342                     -0.05797354
                   2.345                    -0.058263066
                   2.348                     -0.05854035
               2.3510001                     -0.05880849
               2.3540001                    -0.059065132
