Phi[deg],Theta[deg],dB(GainTotal)
0,0,19.8489
24,0,19.8489
48,0,19.8489
72,0,19.8489
96,0,19.8489
120,0,19.8489
144,0,19.8489
168,0,19.8489
192,0,19.8489
216,0,19.8489
240,0,19.8489
264,0,19.8489
288,0,19.8489
312,0,19.8489
336,0,19.8489
360,0,19.8489
0,6,18.5525
24,6,18.5018
48,6,18.3996
72,6,18.3094
96,6,18.2936
120,6,18.3647
144,6,18.4733
168,6,18.5504
192,6,18.5545
216,6,18.4863
240,6,18.3874
264,6,18.3259
288,6,18.3487
312,6,18.4368
336,6,18.5242
360,6,18.5525
0,12,14.8793
24,12,14.6289
48,12,14.0927
72,12,13.6798
96,12,13.613
120,12,13.8849
144,12,14.4031
168,12,14.7827
192,12,14.7757
216,12,14.4111
240,12,13.9152
264,12,13.6435
288,12,13.7339
312,12,14.1654
336,12,14.6692
360,12,14.8793
0,18,10.208
24,18,9.17734
48,18,7.4685
72,18,8.65706
96,18,9.42438
120,18,7.67991
144,18,8.23324
168,18,9.92555
192,18,9.88512
216,18,8.27486
240,18,7.7482
264,18,9.37003
288,18,8.63616
312,18,7.56241
336,18,9.21677
360,18,10.208
0,24,6.27575
24,24,3.80047
48,24,1.46131
72,24,7.89184
96,24,9.47707
120,24,4.78903
144,24,1.19329
168,24,5.70638
192,24,5.75613
216,24,1.47318
240,24,4.81219
264,24,9.48261
288,24,7.93438
312,24,1.52222
336,24,3.8297
360,24,6.27575
0,30,1.31793
24,30,-1.86922
48,30,-1.3033
72,30,4.9382
96,30,6.29476
120,30,2.15349
144,30,-4.1492
168,30,0.412771
192,30,0.571374
216,30,-4.2974
240,30,2.03252
264,30,6.27982
288,30,4.98362
312,30,-1.49293
336,30,-1.99505
360,30,1.31793
0,36,-4.24595
24,36,-8.96826
48,36,-3.70098
72,36,-2.94898
96,36,-3.36424
120,36,-3.14053
144,36,-7.21523
168,36,-5.77865
192,36,-5.63803
216,36,-7.70277
240,36,-3.28025
264,36,-3.44816
288,36,-2.8359
312,36,-4.08373
336,36,-8.78254
360,36,-4.24595
0,42,-6.92588
24,42,-14.3459
48,42,-8.08658
72,42,-6.61637
96,42,-0.125108
120,42,-11.2075
144,42,-11.9411
168,42,-9.03154
192,42,-8.93703
216,42,-11.0714
240,42,-11.3346
264,42,-0.0702555
288,42,-6.80221
312,42,-8.18636
336,42,-14.1633
360,42,-6.92588
0,48,-10.2843
24,48,-17.3296
48,48,-15.0851
72,48,-2.97397
96,48,2.89268
120,48,-12.1624
144,48,-15.5394
168,48,-12.7484
192,48,-13.1228
216,48,-15.1211
240,48,-12.2438
264,48,2.84994
288,48,-3.02654
312,48,-14.4726
336,48,-17.6732
360,48,-10.2843
0,54,-15.7033
24,54,-19.5223
48,54,-19.5815
72,54,-3.28731
96,54,1.83037
120,54,-10.3015
144,54,-16.0182
168,54,-17.724
192,54,-19.0878
216,54,-16.2532
240,54,-10.0721
264,54,1.81817
288,54,-3.39989
312,54,-20.0313
336,54,-19.9955
360,54,-15.7033
0,60,-18.5224
24,60,-25.0836
48,60,-21.4685
72,60,-6.67798
96,60,-2.31901
120,60,-10.6254
144,60,-18.317
168,60,-23.9836
192,60,-21.54
216,60,-18.5118
240,60,-10.4675
264,60,-2.16841
288,60,-6.47642
312,60,-20.108
336,60,-24.7915
360,60,-18.5224
0,66,-17.5763
24,66,-27.9463
48,66,-22.154
72,66,-10.9
96,66,-9.46384
120,66,-12.4922
144,66,-21.3307
168,66,-23.1152
192,66,-24.2625
216,66,-21.68
240,66,-12.2793
264,66,-9.41112
288,66,-10.7252
312,66,-21.5839
336,66,-26.8006
360,66,-17.5763
0,72,-18.7652
24,72,-25.4857
48,72,-22.1976
72,72,-18.5109
96,72,-18.9896
120,72,-14.6751
144,72,-23.5553
168,72,-24.3705
192,72,-27.0843
216,72,-23.5985
240,72,-14.3836
264,72,-18.8461
288,72,-18.1434
312,72,-22.0497
336,72,-26.1968
360,72,-18.7652
0,78,-21.5632
24,78,-23.5472
48,78,-22.5324
72,78,-22.3272
96,78,-11.8817
120,78,-16.7967
144,78,-25.2502
168,78,-30.0078
192,78,-29.7425
216,78,-25.4339
240,78,-16.4575
264,78,-12.3362
288,78,-21.8916
312,78,-21.8799
336,78,-25.5543
360,78,-21.5632
0,84,-22.9404
24,84,-24.0612
48,84,-23.2158
72,84,-20.4968
96,84,-9.70511
120,84,-19.9843
144,84,-28.4684
168,84,-33.4091
192,84,-28.1696
216,84,-28.8648
240,84,-19.1729
264,84,-9.87764
288,84,-20.0502
312,84,-22.6562
336,84,-24.9538
360,84,-22.9404
0,90,-22.8279
24,90,-24.5312
48,90,-24.5193
72,90,-18.3719
96,90,-8.54831
120,90,-20.3712
144,90,-31.4043
168,90,-32.3984
192,90,-30.5121
216,90,-31.2828
240,90,-20.216
264,90,-8.76477
288,90,-18.1437
312,90,-23.8581
336,90,-25.7201
360,90,-22.8279
