Phi[deg],Theta[deg],dB(GainPhi)
0,0,19.7735
24,0,18.9893
48,0,16.2866
72,0,9.58125
96,0,0.133163
120,0,13.7483
144,0,17.9307
168,0,19.581
192,0,19.5821
216,0,17.9346
240,0,13.7575
264,0,0.18327
288,0,9.56504
312,0,16.2808
336,0,18.9869
360,0,19.7735
0,6,18.506
24,6,17.6602
48,6,14.814
72,6,7.96863
96,6,-1.49308
120,6,12.2003
144,6,16.5312
168,6,18.2892
192,6,18.2956
216,6,16.5498
240,6,12.228
264,6,-1.44191
288,6,7.97285
312,6,14.8208
336,6,17.6652
360,6,18.506
0,12,14.872
24,12,13.7974
48,12,10.398
72,12,3.0315
96,12,-6.54277
120,12,7.48178
144,12,12.4078
168,12,14.5803
192,12,14.5915
216,12,12.456
240,12,7.55822
264,12,-6.49976
288,12,3.04889
312,12,10.4194
336,12,13.8149
360,12,14.872
0,18,10.1735
24,18,8.30539
48,18,3.71439
72,18,-2.25277
96,18,-11.0868
120,18,1.07853
144,18,6.19222
168,18,9.68588
192,18,9.6798
216,18,6.27268
240,18,1.19968
264,18,-11.0129
288,18,-2.26487
312,18,3.74951
336,18,8.3539
360,18,10.1735
0,24,6.39401
24,24,2.96987
48,24,-1.878
72,24,-2.41064
96,24,-10.3672
120,24,-1.15218
144,24,-0.499656
168,24,5.53443
192,24,5.51358
216,24,-0.429044
240,24,-1.17417
264,24,-10.3049
288,24,-2.3274
312,24,-1.89401
336,24,3.00374
360,24,6.39401
0,30,1.85205
24,30,-2.45553
48,30,-5.07619
72,30,-4.63025
96,30,-12.7417
120,30,-3.40305
144,30,-5.96355
168,30,0.781098
192,30,0.855771
216,30,-6.00265
240,30,-3.3817
264,30,-12.7079
288,30,-4.58717
312,30,-5.12325
336,30,-2.51562
360,30,1.85205
0,36,-3.41669
24,36,-8.89521
48,36,-8.81472
72,36,-10.8602
96,36,-19.4335
120,36,-8.85941
144,36,-9.5565
168,36,-4.94886
192,36,-4.89337
216,36,-9.89948
240,36,-8.71048
264,36,-19.7179
288,36,-10.9142
312,36,-8.91769
336,36,-8.82486
360,36,-3.41669
0,42,-6.40618
24,42,-14.7288
48,42,-13.8378
72,42,-18.807
96,42,-21.2686
120,42,-19.9292
144,42,-12.6337
168,42,-8.81703
192,42,-8.7824
216,42,-12.9272
240,42,-19.3665
264,42,-21.6271
288,42,-18.5832
312,42,-13.544
336,42,-13.9421
360,42,-6.40618
0,48,-9.8479
24,48,-18.4334
48,48,-19.4912
72,48,-17.0227
96,48,-18.9977
120,48,-26.1486
144,48,-17.1441
168,48,-12.3053
192,48,-12.2697
216,48,-17.2657
240,48,-25.7492
264,48,-19.357
288,48,-17.1112
312,48,-19.1629
336,48,-17.4874
360,48,-9.8479
0,54,-14.6089
24,54,-21.4551
48,54,-24.6265
72,54,-17.034
96,54,-19.7027
120,54,-22.403
144,54,-22.0383
168,54,-16.832
192,54,-16.8738
216,54,-23.0585
240,54,-22.8711
264,54,-19.9225
288,54,-17.7421
312,54,-25.1393
336,54,-20.9833
360,54,-14.6089
0,60,-16.4654
24,60,-29.4879
48,60,-37.1608
72,60,-20.212
96,60,-22.6255
120,60,-23.2164
144,60,-32.3352
168,60,-21.5257
192,60,-21.495
216,60,-32.1285
240,60,-23.2296
264,60,-23.0153
288,60,-20.5613
312,60,-33.6121
336,60,-27.1293
360,60,-16.4654
0,66,-15.9675
24,66,-43.053
48,66,-35.0864
72,66,-24.8892
96,66,-26.7518
120,66,-26.1021
144,66,-44.4966
168,66,-23.1861
192,66,-25.3607
216,66,-37.9497
240,66,-25.7491
264,66,-27.5453
288,66,-25.2053
312,66,-41.2118
336,66,-45.5867
360,66,-15.9675
0,72,-17.0385
24,72,-30.8912
48,72,-31.6223
72,72,-31.7894
96,72,-31.0503
120,72,-27.4891
144,72,-31.4483
168,72,-26.3591
192,72,-27.3508
216,72,-32.8794
240,72,-27.8535
264,72,-31.2775
288,72,-30.792
312,72,-37.4993
336,72,-36.248
360,72,-17.0385
0,78,-18.7181
24,78,-31.3235
48,78,-32.1135
72,78,-36.0476
96,78,-34.4499
120,78,-29.6955
144,78,-35.7876
168,78,-29.6629
192,78,-31.1319
216,78,-31.7703
240,78,-31.6451
264,78,-33.9166
288,78,-35.3427
312,78,-33.9633
336,78,-34.4137
360,78,-18.7181
0,84,-20.6993
24,84,-28.1892
48,84,-29.9191
72,84,-36.0038
96,84,-36.4046
120,84,-31.7594
144,84,-33.5363
168,84,-34.9889
192,84,-30.7062
216,84,-31.2841
240,84,-34.3429
264,84,-34.7359
288,84,-37.1063
312,84,-35.7869
336,84,-32.7867
360,84,-20.6993
0,90,-20.8675
24,90,-30.9348
48,90,-33.7412
72,90,-36.3812
96,90,-36.0797
120,90,-31.0814
144,90,-36.0156
168,90,-35.5942
192,90,-32.5459
216,90,-32.8992
240,90,-35.5764
264,90,-35.6407
288,90,-35.0859
312,90,-34.8845
336,90,-33.5582
360,90,-20.8675
