Phi[deg],Theta[deg],dB(GainTotal)
0,0,19.7735
24,0,19.7735
48,0,19.7735
72,0,19.7735
96,0,19.7735
120,0,19.7735
144,0,19.7735
168,0,19.7735
192,0,19.7735
216,0,19.7735
240,0,19.7735
264,0,19.7735
288,0,19.7735
312,0,19.7735
336,0,19.7735
360,0,19.7735
0,6,18.506
24,6,18.4538
48,6,18.332
72,6,18.2172
96,6,18.1875
120,6,18.2635
144,6,18.3904
168,6,18.4837
192,6,18.4888
216,6,18.4044
240,6,18.2818
264,6,18.2037
288,6,18.2291
312,6,18.3406
336,6,18.4586
360,6,18.506
0,12,14.872
24,12,14.6138
48,12,14.0246
72,12,13.531
96,12,13.4221
120,12,13.7179
144,12,14.3219
168,12,14.7801
192,12,14.7912
216,12,14.3662
240,12,13.7858
264,12,13.4667
288,12,13.5509
312,12,14.0508
336,12,14.6327
360,12,14.872
0,18,10.1735
24,18,9.1469
48,18,7.51187
72,18,8.60537
96,18,9.35048
120,18,7.62957
144,18,8.17439
168,18,9.89153
192,18,9.88785
216,18,8.23835
240,18,7.70421
264,18,9.35781
288,18,8.58351
312,18,7.53752
336,18,9.19436
360,18,10.1735
0,24,6.39402
24,24,3.82186
48,24,1.61272
72,24,8.01046
96,24,9.65043
120,24,4.94321
144,24,1.41707
168,24,5.74798
192,24,5.73062
216,24,1.45652
240,24,4.87253
264,24,9.63073
288,24,8.0441
312,24,1.5722
336,24,3.85906
360,24,6.39402
0,30,1.85207
24,30,-1.56886
48,30,-1.47676
72,30,5.17832
96,30,6.65575
120,30,2.18972
144,30,-3.94471
168,30,0.992595
192,30,1.06081
216,30,-3.92708
240,30,2.14087
264,30,6.63579
288,30,5.17317
312,30,-1.59865
336,30,-1.63492
360,30,1.85207
0,36,-3.41667
24,36,-7.98039
48,36,-4.01792
72,36,-3.03426
96,36,-3.26038
120,36,-3.4843
144,36,-6.96699
168,36,-4.71901
192,36,-4.69457
216,36,-7.24063
240,36,-3.43807
264,36,-3.36859
288,36,-3.10137
312,36,-4.13069
336,36,-7.94375
360,36,-3.41667
0,42,-6.40559
24,42,-14.0849
48,42,-8.4186
72,42,-6.81119
96,42,-0.114263
120,42,-11.765
144,42,-10.8166
168,42,-8.56393
192,42,-8.53598
216,42,-11.2368
240,42,-11.5472
264,42,-0.185547
288,42,-6.60816
312,42,-8.39176
336,42,-13.4439
360,42,-6.40559
0,48,-9.84518
24,48,-16.9822
48,48,-15.3022
72,48,-2.54772
96,48,3.23558
120,48,-11.3429
144,48,-15.0606
168,48,-12.0613
192,48,-12.005
216,48,-15.1888
240,48,-11.282
264,48,3.22664
288,48,-2.51153
312,48,-15.2128
336,48,-16.3263
360,48,-9.84518
0,54,-14.6
24,54,-19.3833
48,54,-19.5442
72,54,-2.81805
96,54,2.38996
120,54,-9.49387
144,54,-16.6303
168,54,-16.654
192,54,-16.6836
216,54,-16.5377
240,54,-9.45927
264,54,2.46874
288,54,-2.91606
312,54,-19.0516
336,54,-19.0509
360,54,-14.6
0,60,-16.4587
24,60,-26.7106
48,60,-20.1774
72,60,-5.85038
96,60,-1.3406
120,60,-10.1602
144,60,-19.0002
168,60,-21.1743
192,60,-21.224
216,60,-18.5189
240,60,-10.1442
264,60,-1.17493
288,60,-5.94654
312,60,-19.5626
336,60,-25.1421
360,60,-16.4587
0,66,-15.9544
24,66,-37.9462
48,66,-20.7081
72,66,-9.90496
96,66,-7.4279
120,66,-12.1123
144,66,-22.1114
168,66,-22.5902
192,66,-24.4658
216,66,-21.6243
240,66,-12.2046
264,66,-7.06449
288,66,-10.0143
312,66,-21.3546
336,66,-33.8566
360,66,-15.9544
0,72,-17.0332
24,72,-26.543
48,72,-21.575
72,72,-16.3422
96,72,-16.937
120,72,-14.9794
144,72,-24.4471
168,72,-25.4269
192,72,-26.1896
216,72,-24.4264
240,72,-14.9074
264,72,-16.5163
288,72,-16.2829
312,72,-22.3045
336,72,-27.2602
360,72,-17.0332
0,78,-18.7129
24,78,-24.5519
48,78,-22.7554
72,78,-19.7188
96,78,-12.8404
120,78,-17.6135
144,78,-27.1599
168,78,-27.8182
192,78,-28.584
216,78,-26.4472
240,78,-17.6345
264,78,-13.0585
288,78,-19.998
312,78,-23.5272
336,78,-25.5443
360,78,-18.7129
0,84,-20.6943
24,84,-23.4877
48,84,-23.3711
72,84,-20.8255
96,84,-10.2641
120,84,-21.3431
144,84,-29.2438
168,84,-32.3371
192,84,-29.5041
216,84,-28.4573
240,84,-21.1557
264,84,-10.207
288,84,-20.748
312,84,-24.7492
336,84,-25.7566
360,84,-20.6943
0,90,-20.8643
24,90,-25.2204
48,90,-25.569
72,90,-18.6619
96,90,-8.66431
120,90,-22.8371
144,90,-31.4743
168,90,-33.6007
192,90,-30.8004
216,90,-30.1071
240,90,-22.6305
264,90,-8.69876
288,90,-18.4406
312,90,-26.3889
336,90,-26.1858
360,90,-20.8643
